job_id,job_title,company,job_category,required_skills,min_experience,education_required,salary_range_lpa,location,description
JOB-0001,Data Scientist Senior,Accenture,Data Scientist,"R, MATLAB, Keras, Statistics, Spark, Tableau, Power BI, Machine Learning, TensorFlow",4,Bachelor's,10-30,Berlin,"We are looking for a Data Scientist with 4+ years of experience. Must be proficient in R, MATLAB, Keras. Join Accenture and work on cutting-edge projects."
JOB-0002,Data Scientist Senior,Microsoft,Data Scientist,"Computer Vision, Deep Learning, Scikit-learn, MATLAB, Tableau",4,Bachelor's,13-19,Remote,"We are looking for a Data Scientist with 4+ years of experience. Must be proficient in Computer Vision, Deep Learning, Scikit-learn. Join Microsoft and work on cutting-edge projects."
JOB-0003,Data Scientist I,Goldman Sachs,Data Scientist,"Deep Learning, TensorFlow, NLP, Spark, Keras, Pandas, Computer Vision, Machine Learning, Data Visualization",0,Master's,9-27,Toronto,"We are looking for a Data Scientist with 0+ years of experience. Must be proficient in Deep Learning, TensorFlow, NLP. Join Goldman Sachs and work on cutting-edge projects."
JOB-0004,Data Scientist II,Amazon,Data Scientist,"MATLAB, Computer Vision, Deep Learning, TensorFlow, Tableau, R, Python, Data Visualization, NumPy",2,Master's,7-24,Singapore,"We are looking for a Data Scientist with 2+ years of experience. Must be proficient in MATLAB, Computer Vision, Deep Learning. Join Amazon and work on cutting-edge projects."
JOB-0005,Data Scientist II,McKinsey,Data Scientist,"Hadoop, Statistics, NLP, Computer Vision, Spark, TensorFlow, Machine Learning, Power BI, Data Visualization",3,Bachelor's,12-32,Toronto,"We are looking for a Data Scientist with 3+ years of experience. Must be proficient in Hadoop, Statistics, NLP. Join McKinsey and work on cutting-edge projects."
JOB-0006,ML Engineer I,McKinsey,ML Engineer,"MLOps, NLP, TensorFlow, Kubernetes, AWS SageMaker, Docker, CI/CD",1,Bachelor's,13-21,Toronto,"We are looking for a ML Engineer with 1+ years of experience. Must be proficient in MLOps, NLP, TensorFlow. Join McKinsey and work on cutting-edge projects."
JOB-0007,ML Engineer Senior,Netflix,ML Engineer,"Computer Vision, Git, Feature Engineering, FastAPI, Model Deployment, Flask",5,Bachelor's,13-30,Hyderabad,"We are looking for a ML Engineer with 5+ years of experience. Must be proficient in Computer Vision, Git, Feature Engineering. Join Netflix and work on cutting-edge projects."
JOB-0008,ML Engineer Senior,Wipro,ML Engineer,"Kubernetes, Spark, FastAPI, AWS SageMaker, Computer Vision, Scikit-learn, NLP, MLOps",4,Bachelor's,15-31,Kolkata,"We are looking for a ML Engineer with 4+ years of experience. Must be proficient in Kubernetes, Spark, FastAPI. Join Wipro and work on cutting-edge projects."
JOB-0009,ML Engineer II,Flipkart,ML Engineer,"NLP, PyTorch, MLflow, Airflow, Spark",2,Master's,6-14,Sydney,"We are looking for a ML Engineer with 2+ years of experience. Must be proficient in NLP, PyTorch, MLflow. Join Flipkart and work on cutting-edge projects."
JOB-0010,ML Engineer II,Google,ML Engineer,"Flask, FastAPI, Model Deployment, MLOps, MLflow, Docker",2,Master's,14-25,Sydney,"We are looking for a ML Engineer with 2+ years of experience. Must be proficient in Flask, FastAPI, Model Deployment. Join Google and work on cutting-edge projects."
JOB-0011,Software Engineer I,Netflix,Software Engineer,"Git, REST APIs, JavaScript, Linux, System Design, Java, Agile, Algorithms, Docker, Microservices",1,Bachelor's,10-25,New York,"We are looking for a Software Engineer with 1+ years of experience. Must be proficient in Git, REST APIs, JavaScript. Join Netflix and work on cutting-edge projects."
JOB-0012,Software Engineer Senior,Flipkart,Software Engineer,"Docker, Data Structures, Linux, Agile, Python",4,Master's,9-28,New York,"We are looking for a Software Engineer with 4+ years of experience. Must be proficient in Docker, Data Structures, Linux. Join Flipkart and work on cutting-edge projects."
JOB-0013,Software Engineer II,Google,Software Engineer,"Docker, Linux, SQL, OOP, JavaScript, Algorithms, REST APIs, Git",3,Master's,12-32,Mumbai,"We are looking for a Software Engineer with 3+ years of experience. Must be proficient in Docker, Linux, SQL. Join Google and work on cutting-edge projects."
JOB-0014,Software Engineer II,Deloitte,Software Engineer,"CI/CD, REST APIs, Agile, Microservices, SQL",2,Bachelor's,6-12,London,"We are looking for a Software Engineer with 2+ years of experience. Must be proficient in CI/CD, REST APIs, Agile. Join Deloitte and work on cutting-edge projects."
JOB-0015,Software Engineer Senior,TCS,Software Engineer,"Data Structures, C++, SQL, Agile, JavaScript, Git, Spring Boot",4,Master's,8-22,New York,"We are looking for a Software Engineer with 4+ years of experience. Must be proficient in Data Structures, C++, SQL. Join TCS and work on cutting-edge projects."
JOB-0016,Web Developer II,Google,Web Developer,"TypeScript, JavaScript, GraphQL, CSS, Bootstrap",2,Bachelor's or higher,6-20,Seattle,"We are looking for a Web Developer with 2+ years of experience. Must be proficient in TypeScript, JavaScript, GraphQL. Join Google and work on cutting-edge projects."
JOB-0017,Web Developer II,Accenture,Web Developer,"Express.js, Webpack, Git, Vue.js, HTML, CSS",2,Master's,14-22,New York,"We are looking for a Web Developer with 2+ years of experience. Must be proficient in Express.js, Webpack, Git. Join Accenture and work on cutting-edge projects."
JOB-0018,Web Developer II,McKinsey,Web Developer,"React, Bootstrap, SQL, JavaScript, Git, GraphQL, Express.js, Tailwind CSS, Next.js, TypeScript",3,Bachelor's or higher,9-14,Delhi,"We are looking for a Web Developer with 3+ years of experience. Must be proficient in React, Bootstrap, SQL. Join McKinsey and work on cutting-edge projects."
JOB-0019,Web Developer II,Flipkart,Web Developer,"JavaScript, Webpack, SASS, Tailwind CSS, HTML, SQL, Next.js",3,Bachelor's,14-30,Remote,"We are looking for a Web Developer with 3+ years of experience. Must be proficient in JavaScript, Webpack, SASS. Join Flipkart and work on cutting-edge projects."
JOB-0020,Web Developer II,Meta,Web Developer,"SQL, Git, React, Tailwind CSS, Next.js, CSS, Angular, SASS, Webpack, REST APIs",2,Master's,13-24,Remote,"We are looking for a Web Developer with 2+ years of experience. Must be proficient in SQL, Git, React. Join Meta and work on cutting-edge projects."
JOB-0021,DevOps Engineer Senior,Flipkart,DevOps Engineer,"Security, Kubernetes, Grafana, Terraform, Monitoring, Ansible, Python, Networking",4,Bachelor's,13-26,San Francisco,"We are looking for a DevOps Engineer with 4+ years of experience. Must be proficient in Security, Kubernetes, Grafana. Join Flipkart and work on cutting-edge projects."
JOB-0022,DevOps Engineer I,Uber,DevOps Engineer,"AWS, Monitoring, Security, Linux, GCP, Prometheus, Jenkins, Python, Infrastructure as Code",1,Bachelor's or higher,5-11,Sydney,"We are looking for a DevOps Engineer with 1+ years of experience. Must be proficient in AWS, Monitoring, Security. Join Uber and work on cutting-edge projects."
JOB-0023,DevOps Engineer Senior,Google,DevOps Engineer,"Monitoring, CI/CD, Networking, Bash, Docker, Azure, Git",5,Bachelor's,11-16,New York,"We are looking for a DevOps Engineer with 5+ years of experience. Must be proficient in Monitoring, CI/CD, Networking. Join Google and work on cutting-edge projects."
JOB-0024,DevOps Engineer II,IBM,DevOps Engineer,"Azure, Kubernetes, Nginx, AWS, Git, Infrastructure as Code, Grafana, Docker, Monitoring, Security",3,Bachelor's or higher,11-23,Chennai,"We are looking for a DevOps Engineer with 3+ years of experience. Must be proficient in Azure, Kubernetes, Nginx. Join IBM and work on cutting-edge projects."
JOB-0025,DevOps Engineer II,Goldman Sachs,DevOps Engineer,"Terraform, Ansible, Git, Jenkins, Prometheus, Linux",2,Bachelor's,9-20,Chennai,"We are looking for a DevOps Engineer with 2+ years of experience. Must be proficient in Terraform, Ansible, Git. Join Goldman Sachs and work on cutting-edge projects."
JOB-0026,Data Analyst I,Deloitte,Data Analyst,"Business Intelligence, Data Modeling, Excel, Pandas, ETL",1,Master's,8-23,Chennai,"We are looking for a Data Analyst with 1+ years of experience. Must be proficient in Business Intelligence, Data Modeling, Excel. Join Deloitte and work on cutting-edge projects."
JOB-0027,Data Analyst II,Netflix,Data Analyst,"Google Analytics, Pandas, Statistics, Excel, Storytelling, Reporting, R, Data Cleaning",3,Bachelor's,9-25,Hyderabad,"We are looking for a Data Analyst with 3+ years of experience. Must be proficient in Google Analytics, Pandas, Statistics. Join Netflix and work on cutting-edge projects."
JOB-0028,Data Analyst Senior,Flipkart,Data Analyst,"Google Analytics, Data Modeling, Reporting, Data Cleaning, Tableau, Statistics, SQL, Business Intelligence, ETL, Dashboard Design",5,Bachelor's,14-33,Pune,"We are looking for a Data Analyst with 5+ years of experience. Must be proficient in Google Analytics, Data Modeling, Reporting. Join Flipkart and work on cutting-edge projects."
JOB-0029,Data Analyst II,Goldman Sachs,Data Analyst,"SQL, Business Intelligence, Python, Pandas, Data Visualization, Excel, Reporting",3,Master's,6-13,Delhi,"We are looking for a Data Analyst with 3+ years of experience. Must be proficient in SQL, Business Intelligence, Python. Join Goldman Sachs and work on cutting-edge projects."
JOB-0030,Data Analyst I,Flipkart,Data Analyst,"Google Analytics, Reporting, Data Cleaning, Excel, Power BI, Storytelling, Data Warehousing, Tableau",1,Master's,5-11,Toronto,"We are looking for a Data Analyst with 1+ years of experience. Must be proficient in Google Analytics, Reporting, Data Cleaning. Join Flipkart and work on cutting-edge projects."
JOB-0031,Mobile Developer Senior,Apple,Mobile Developer,"Agile, Dart, Cross-platform, iOS Development, REST APIs, Flutter, Testing, Android Development, Firebase",4,Bachelor's,13-28,Seattle,"We are looking for a Mobile Developer with 4+ years of experience. Must be proficient in Agile, Dart, Cross-platform. Join Apple and work on cutting-edge projects."
JOB-0032,Mobile Developer II,IBM,Mobile Developer,"Agile, Dart, Java, Git, React Native, Android Studio, Android Development, Testing, Push Notifications",2,Bachelor's,14-27,Sydney,"We are looking for a Mobile Developer with 2+ years of experience. Must be proficient in Agile, Dart, Java. Join IBM and work on cutting-edge projects."
JOB-0033,Mobile Developer Senior,Goldman Sachs,Mobile Developer,"SQLite, UI/UX, Git, Flutter, Dart, REST APIs, Push Notifications",4,Bachelor's or higher,14-29,Toronto,"We are looking for a Mobile Developer with 4+ years of experience. Must be proficient in SQLite, UI/UX, Git. Join Goldman Sachs and work on cutting-edge projects."
JOB-0034,Mobile Developer I,Flipkart,Mobile Developer,"iOS Development, Push Notifications, Xcode, Agile, Android Studio, Dart, SQLite, Android Development, Swift",1,Bachelor's,5-12,Pune,"We are looking for a Mobile Developer with 1+ years of experience. Must be proficient in iOS Development, Push Notifications, Xcode. Join Flipkart and work on cutting-edge projects."
JOB-0035,Mobile Developer II,Apple,Mobile Developer,"React Native, Android Development, Agile, Android Studio, Xcode, Dart, SQLite, Flutter, Git, UI/UX",2,Bachelor's,6-20,Seattle,"We are looking for a Mobile Developer with 2+ years of experience. Must be proficient in React Native, Android Development, Agile. Join Apple and work on cutting-edge projects."
JOB-0036,Cloud Architect Senior,Uber,Cloud Architect,"Security, Networking, Auto Scaling, IAM, Load Balancing, Lambda",4,Bachelor's or higher,15-27,Toronto,"We are looking for a Cloud Architect with 4+ years of experience. Must be proficient in Security, Networking, Auto Scaling. Join Uber and work on cutting-edge projects."
JOB-0037,Cloud Architect II,Uber,Cloud Architect,"VPC, CloudFormation, Cost Optimization, Load Balancing, Auto Scaling, Disaster Recovery",2,Bachelor's,5-16,London,"We are looking for a Cloud Architect with 2+ years of experience. Must be proficient in VPC, CloudFormation, Cost Optimization. Join Uber and work on cutting-edge projects."
JOB-0038,Cloud Architect II,Infosys,Cloud Architect,"Docker, GCP, Cost Optimization, Load Balancing, Lambda, Terraform, Security",2,Master's,11-16,Toronto,"We are looking for a Cloud Architect with 2+ years of experience. Must be proficient in Docker, GCP, Cost Optimization. Join Infosys and work on cutting-edge projects."
JOB-0039,Cloud Architect I,Airbnb,Cloud Architect,"Load Balancing, Auto Scaling, CloudFormation, Microservices, Lambda, Azure, Docker, Serverless, Disaster Recovery, Kubernetes",0,Bachelor's,13-19,Delhi,"We are looking for a Cloud Architect with 0+ years of experience. Must be proficient in Load Balancing, Auto Scaling, CloudFormation. Join Airbnb and work on cutting-edge projects."
JOB-0040,Cloud Architect Senior,Microsoft,Cloud Architect,"AWS, Docker, Load Balancing, Terraform, CloudFormation, S3",4,Master's,10-18,Pune,"We are looking for a Cloud Architect with 4+ years of experience. Must be proficient in AWS, Docker, Load Balancing. Join Microsoft and work on cutting-edge projects."
JOB-0041,Cybersecurity Analyst II,Meta,Cybersecurity Analyst,"OWASP, IDS/IPS, Python, Encryption, Incident Response, SIEM, Linux, Vulnerability Assessment",2,Bachelor's,9-18,Pune,"We are looking for a Cybersecurity Analyst with 2+ years of experience. Must be proficient in OWASP, IDS/IPS, Python. Join Meta and work on cutting-edge projects."
JOB-0042,Cybersecurity Analyst II,McKinsey,Cybersecurity Analyst,"Encryption, Compliance, OWASP, Firewalls, Wireshark, Malware Analysis",2,Bachelor's,12-20,London,"We are looking for a Cybersecurity Analyst with 2+ years of experience. Must be proficient in Encryption, Compliance, OWASP. Join McKinsey and work on cutting-edge projects."
